BLDG_PUBID,BLDG_TYP,BLDG_US,BLDG_LOC_REGION,BLDG_NEW_REN,$BLDG_AREA_M2,$BLDG_AREA_FT2,BLDG_STOR_A,$BLDG_STOR_A,LCA_YEAR,LCA_REFPERIOD,LCA_SOUR_CODE,LCA_STAGES,LCA_BLDG_SCOPE,LCA_MAT_Q,EC_WB_EX_OPER,EC_LCAA_PERM2,Average_Area_m2,Average_Storey
A02,Commercial,Health Care,North America,New,18581 to 46451,"200,001 to 500,000",0,1 to 6,2013,50,14,A,SF,Y,25946.88,1207,35000,4
A02,Commercial,Other,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2014,50,14,A,SF,Y,11907.76,1194,14000,4
A02,Commercial,Public Assembly,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2013,50,14,A,SF,Y,20400.97,1187,14000,4
A02,Commercial,Education,North America,New,9291 to 18580,"100,001 to 200,000",0,7 to 14,2014,50,14,A,SF,Y,13221.53,1186,14000,11
A02,Commercial,Other,North America,New,Over 92903,Over 1 million,0,More than 25,2015,50,14,A,SF,Y,164992.79,1167,120000,35
A02,Commercial,Office,North America,New,930 to 2323,"10,001 to 25,000",0,15 to 25,2015,50,14,A,SF,Y,1441.51,1108,1600,20
A02,Commercial,Education,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2014,50,14,A,SF,Y,2020.09,1082,1600,4
A02,Commercial,Education,Asia-Pacific,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2014,50,14,A,SF,Y,1713.59,1065,1600,4
A02,Commercial,Mixed,Middle East,New,Over 92903,Over 1 million,0,More than 25,2014,50,14,A,SF,Y,582994.7,1060,120000,35
A02,Commercial,Education,North America,New,466 to 929,"5,001 to 10,000",0,1 to 6,2014,50,14,A,SF,Y,937.36,1009,700,4
A02,Residential,Other,North America,New,94 to 465,"1,001 to 5,000",0,1 to 6,2015,50,14,A,SF,Y,384.53,1004,250,4
A02,Commercial,Education,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2014,50,14,A,SF,Y,2538.54,1001,3500,4
A02,Commercial,Other,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2014,50,14,A,SF,Y,4252.63,995,3500,4
A02,Commercial,Health Care,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2014,50,14,A,SF,Y,13097.06,979,14000,4
A02,Residential,Multi-family,North America,New,4646 to 9290,"50,001 to 100,000",0,7 to 14,2013,50,14,A,SF,Y,5511.87,974,7000,11
A02,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2013,50,14,A,SF,Y,5563.2,950,7000,4
A02,Commercial,Public Assembly,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2014,50,14,A,SF,Y,18987.05,935,35000,11
A02,Commercial,Education,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2013,50,14,A,SF,Y,4008.35,927,3500,4
A02,Commercial,Other,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2014,50,14,A,SF,Y,9478.56,910,14000,4
A02,Commercial,Public Assembly,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2014,50,14,A,SF,Y,12238.59,910,14000,4
A02,Commercial,Education,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2013,50,14,A,SF,Y,1509.35,876,1600,4
A02,Commercial,Education,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2014,50,14,A,SF,Y,896.57,873,1600,4
